,7,51,71,89,98,106,159,166,184,287,300,318,319,383,425,440,471,540,557,601,616,11,21,22,24,29,30,32,36,43,46,48,52,55,56,59,60,61,67,73,75,77,84,87,91,94,99,101,108,109,110,111,113,121,123,130,144,145,153,170,172,177,178,179,180,183,190,197,198,199,205,206,207,209,211,215,221,224,225,226,227,234,236,240,246,247,248,250,251,261,264,269,271,272,274,277,278,281,285,286,288,293,295,296,303,304,308,309,311,313,317,324,326,331,333,334,335,339,340,341,343,347,348,351,352,361,362,364,372,374,376,377,382,384,389,394,396,397,399,400,401,404,405,408,410,414,419,422,426,427,431,432,434,439,443,444,453,455,460,468,472,473,478,479,481,484,493,497,502,506,509,512,514,518,520,521,524,526,528,529,530,531,534,543,544,545,546,547,555,556,558,562,563,564,568,574,577,579,583,584,587,591,593,594,596,597,603,604,606,611,612,613,615,621,623,626,632,637,641,644,645,647,650,353,3,66,120,141,213,232,239,267,328,371,412,435,617,646,648,649
7,1.000000,0.141367,0.191193,0.186917,0.324079,0.101878,0.067040,0.240697,0.124560,0.161570,0.240291,0.137683,0.092809,0.131283,0.133300,0.124602,0.357022,0.236064,0.076726,0.180723,0.184004,0.205366,0.282295,0.244905,0.283819,0.354337,0.038103,0.187791,0.297875,0.173686,0.231392,0.175399,0.218525,0.192631,0.478393,0.314959,0.062448,0.142412,0.093136,0.082633,0.049375,0.089020,0.081787,0.159443,0.272765,0.328980,0.315939,0.092948,0.292941,0.077727,0.414253,0.089329,0.325469,0.146834,0.244511,0.176222,0.278380,0.166230,0.126535,0.228862,0.160078,0.147670,0.356082,0.189849,0.163771,0.214550,0.176036,0.208568,0.153353,0.201158,0.259241,0.099316,0.258643,0.212377,0.259892,0.179551,0.324022,0.134955,0.215857,0.280984,0.169380,0.176173,0.261092,0.154810,0.130231,0.284035,0.112973,0.122691,0.090047,0.160456,0.218893,0.038173,0.078386,0.013281,0.113936,0.116601,0.189138,0.251988,0.027521,0.045283,0.327680,0.218680,0.153936,0.269629,0.131791,0.118392,0.205708,0.292796,0.170266,-0.021402,0.204496,0.352409,0.022783,0.054387,0.164743,0.337329,0.139533,0.139630,0.274695,0.178712,0.279283,0.102145,0.295981,0.140942,0.076088,0.319330,0.316448,0.057452,0.076147,0.144016,0.195659,0.190642,0.094935,0.194729,0.062858,0.344655,0.139655,0.072259,0.337176,0.193383,0.477950,0.338456,0.232104,0.161523,0.192079,0.247139,0.218805,0.223080,0.327527,0.313254,0.185788,0.035560,0.130920,0.325915,0.304146,0.288582,0.195379,0.217112,0.152269,0.694874,0.173396,0.263912,0.343131,0.130515,0.125657,0.336017,0.131021,0.151903,0.110130,0.487912,0.311150,0.339450,0.144090,0.368078,0.403799,0.098443,0.145411,0.089228,0.160045,0.269414,0.054754,0.390033,0.188311,0.134522,0.302943,-0.003395,0.243251,0.178788,0.207609,0.100555,0.095022,0.297727,0.223639,0.160968,0.140412,0.125561,0.143312,0.206192,0.108719,0.207802,0.110257,0.166608,0.274429,0.109932,0.150845,0.277443,0.205999,0.163883,0.223855,0.303095,0.103207,0.074852,0.244246,0.158099,0.355022,0.165305,0.149485,0.117091,0.322399,0.020560,0.228174,0.193254,0.205630,0.266553,0.142325,0.188459,0.085519,0.165698,0.182275,0.217635,0.196952,0.139884,0.222168,0.329917,0.232109,-0.020040,0.119903,0.258204,0.117531,0.240342
51,0.141367,1.000000,0.163058,0.406890,0.186106,0.200562,0.186115,0.435777,0.175746,0.342183,0.332141,0.340122,0.507837,0.086872,0.438234,0.314629,0.214950,0.279495,0.255090,0.151666,0.184166,0.596135,0.383794,0.333077,0.259381,0.202642,0.212606,0.127293,0.322653,0.217693,0.219649,0.260632,0.171308,0.253535,0.334869,0.312148,0.276744,0.401887,0.153983,0.147421,0.175034,0.142476,0.542958,0.399861,0.227248,0.426560,0.273849,0.240895,0.244721,0.444207,0.425600,0.406723,0.464298,0.217582,0.166486,0.407467,0.317898,0.192734,0.140019,0.445698,0.168642,0.268157,0.412012,0.146090,0.284345,0.238599,0.239545,0.474800,0.238960,0.254243,0.503946,0.179484,0.197255,0.274794,0.394771,0.512950,0.281490,0.384188,0.438858,0.298008,0.164260,0.443274,0.161241,0.267320,0.324327,0.285040,0.405063,0.357123,0.649753,0.326152,0.375156,-0.031704,0.084531,0.063901,0.281584,0.681647,0.219980,0.297279,0.633312,0.188957,0.292691,0.226602,0.298815,0.299459,0.192757,0.547021,0.096075,0.450909,0.557974,0.501938,0.188887,0.402878,0.097724,0.218376,0.368468,0.279873,0.195293,0.103367,0.370917,0.535460,0.298793,0.190560,0.295217,0.499249,0.280884,0.396135,0.440355,0.220133,0.409986,0.198319,0.234424,0.474493,0.300607,0.521771,0.180039,0.327119,0.125928,0.088437,0.325828,0.211869,0.293882,0.235243,0.350306,0.420162,0.171618,0.226845,0.358379,0.253262,0.355362,0.477800,0.330595,0.214689,0.182267,0.393997,0.155539,0.228450,0.073856,0.475877,0.346854,0.099061,0.418046,0.281038,0.180984,0.283208,0.371415,0.375743,0.232583,0.258381,0.187400,0.252074,0.317814,0.157464,0.093400,0.142127,0.226187,0.327258,0.180578,0.370155,0.268974,0.549391,0.171701,0.187722,0.307664,0.413458,0.215793,0.244449,0.335050,0.272327,0.377432,0.221857,0.514804,0.600605,0.335510,0.424408,0.172176,0.209452,0.205599,0.342894,0.276455,0.352096,0.221210,0.219393,0.451905,0.202127,0.304480,0.458680,0.234293,0.105863,0.197795,0.043847,0.311120,0.213544,0.237461,0.392617,0.392103,0.232122,0.162379,0.232689,0.338565,0.194752,0.266221,0.144673,0.505296,0.325527,0.076175,0.364062,0.268999,0.262249,0.220212,0.276154,0.282505,0.344480,0.561780,0.361803,0.116410,0.178984,0.489986,0.450274,0.342383,0.414220
71,0.191193,0.163058,1.000000,0.141087,0.225515,0.336576,0.293060,0.278152,0.476044,0.341233,0.202766,0.164032,0.251705,0.549712,0.110618,0.228448,0.167209,0.284775,0.421956,0.256487,0.352252,0.216935,0.357569,0.573562,0.425646,0.129038,0.053115,0.397900,0.323600,0.384538,0.277117,0.266109,0.458075,0.204320,0.317678,0.541391,0.056400,0.378587,0.337241,0.444436,0.349183,0.444135,0.206922,0.184248,0.200328,0.285843,0.408981,0.136941,0.208090,0.075961,0.275670,0.036198,0.300616,0.105596,0.128184,0.250957,0.173554,0.111453,0.361883,0.455133,0.266240,0.254874,0.294364,0.266736,0.377042,0.295691,0.578111,0.243623,0.407356,0.273415,0.175845,0.322870,0.199159,0.154289,0.195848,0.292947,0.149334,0.187147,0.354120,0.527197,0.488997,0.107719,0.346123,0.176409,0.061356,0.293428,0.109306,0.209102,0.152299,0.226804,0.337778,0.458532,0.363497,0.256337,0.290350,0.204316,0.429129,0.477736,0.180517,0.431450,0.304255,0.133800,0.351477,0.316118,0.278055,0.185416,0.161859,0.328097,0.222857,0.184406,0.284286,0.168038,0.258108,0.584040,0.135974,0.255490,0.437719,0.250800,0.247579,0.072797,0.297953,0.240050,0.325616,0.254417,0.373414,0.296811,0.242982,0.420140,0.148972,0.420204,0.553232,0.161692,0.172569,0.355577,0.359267,0.395517,0.368223,0.368356,0.142928,0.226949,0.304091,0.363176,0.412503,0.042028,0.177771,0.207235,0.148373,0.395111,0.173896,0.247644,0.215258,0.403825,0.450893,0.260261,0.268296,0.369785,0.209004,0.355753,0.283758,0.208645,0.115888,0.269186,0.205355,0.266218,0.369655,0.241808,0.380875,0.252946,0.335344,0.179388,0.127568,0.271241,0.299742,0.178921,0.154712,0.285885,0.231508,0.232232,0.209959,0.310220,0.287632,0.426457,0.334033,0.168216,0.323188,0.362150,0.309235,0.292611,0.073897,0.087047,0.272797,0.199258,0.541900,0.070756,0.425723,0.326733,0.505215,0.204009,0.185398,0.124080,0.396650,0.184854,0.322874,0.429799,0.423350,0.353130,0.207781,0.446283,0.165646,0.129461,0.285430,0.366773,0.225112,0.368372,0.291983,0.476989,0.556525,0.309156,0.244018,0.264433,0.215013,0.235182,0.107052,0.131880,0.374851,0.272847,0.450463,0.415796,0.562218,0.178656,0.506015,0.291357,0.323498,0.258614,0.374285,0.307667,0.268810,0.322065,0.016737,0.233018
89,0.186917,0.406890,0.141087,1.000000,0.319971,0.183867,0.163608,0.336145,0.189722,0.348652,0.440424,0.189462,0.230143,0.070818,0.374944,0.486647,0.340596,0.285465,0.220200,0.070369,0.111894,0.284547,0.274359,0.355251,0.066215,0.307519,0.400339,0.234641,0.438770,0.155402,0.452872,0.250416,0.255398,0.359738,0.287900,0.344773,0.173470,0.293403,0.152329,0.134925,0.073286,0.275620,0.311887,0.256803,0.225769,0.422589,0.209884,0.072274,0.384599,0.339588,0.335868,0.210738,0.477208,0.288305,0.086279,0.204448,0.332305,0.214257,0.160019,0.419055,0.192869,0.340652,0.328948,0.140761,0.389708,0.132340,0.175861,0.509521,0.237364,0.276545,0.347747,0.209433,0.182341,0.433919,0.555751,0.493916,0.449242,0.373051,0.332035,0.335799,0.207615,0.288133,0.276157,0.103486,0.209911,0.284552,0.480044,0.262696,0.378311,0.207194,0.313546,-0.029361,-0.021052,0.109810,0.170474,0.403133,0.171596,0.282539,0.319636,0.097022,0.308677,0.324410,0.267441,0.435313,0.110065,0.306675,0.046409,0.496392,0.425734,0.178173,0.238853,0.321740,0.101113,0.242909,0.435667,0.334263,0.168689,0.124661,0.269190,0.436000,0.291323,0.168861,0.350912,0.328794,0.170551,0.411169,0.542350,0.248638,0.477169,0.212070,0.434908,0.204354,0.289403,0.311534,0.093633,0.497465,0.101301,0.218775,0.522537,0.409050,0.273557,0.243111,0.385934,0.242677,0.172072,0.324255,0.468965,0.312593,0.359558,0.382513,0.544261,0.098481,0.098541,0.302565,0.058404,0.352350,0.122554,0.514440,0.402485,0.130027,0.470839,0.379394,0.217086,0.366494,0.174556,0.280470,0.369751,0.185412,0.129755,0.190229,0.444968,0.061572,0.093410,0.154908,0.125138,0.379561,0.194155,0.299329,0.391556,0.370690,0.018044,0.214315,0.229043,0.503751,0.301934,0.177425,0.356861,0.266758,0.531587,0.072730,0.412732,0.442841,0.307577,0.517358,0.073485,0.107967,0.174174,0.213984,0.147892,0.384433,0.196804,0.211618,0.411472,0.117752,0.318896,0.359887,0.265499,0.195978,0.129070,0.050569,0.382181,0.208532,0.161209,0.403580,0.551720,0.226806,0.171167,0.176379,0.558795,0.158722,0.123919,0.227849,0.486493,0.438275,0.027678,0.385664,0.215189,0.205027,0.319664,0.319515,0.395590,0.371643,0.528535,0.414442,0.011434,0.073621,0.244352,0.318535,0.183956,0.273652
98,0.324079,0.186106,0.225515,0.319971,1.000000,0.193878,0.094265,0.301509,0.128025,0.203021,0.401308,0.125851,0.211822,0.224571,0.211960,0.294180,0.477024,0.156749,0.114583,0.128299,0.141374,0.232295,0.463443,0.280600,0.055586,0.293066,0.202849,-0.000645,0.352809,0.172002,0.449867,0.179164,0.140973,0.251422,0.556145,0.319982,0.140421,0.234176,0.261390,0.161117,0.107874,0.153562,0.223094,0.216106,0.339466,0.254079,0.229443,0.095949,0.283945,0.126321,0.278573,0.035449,0.277706,0.270261,0.067616,0.266899,0.276223,0.204532,0.136211,0.223439,0.092767,0.342917,0.282794,0.116553,0.114047,0.226795,0.219779,0.283852,0.197232,0.170254,0.379187,0.043052,0.115818,0.097331,0.256165,0.252532,0.282795,0.350058,0.300881,0.268667,0.074315,0.159662,0.172821,0.115904,0.230600,0.190471,0.206193,0.226979,0.280816,0.332020,0.202173,0.040553,0.075197,0.088378,0.196651,0.381068,0.199142,0.148030,0.300972,0.000972,0.437792,0.136405,0.134792,0.294546,0.118531,0.209100,0.133719,0.387082,0.230356,0.039422,0.251130,0.350208,-0.040725,0.157952,0.262374,0.247120,0.118662,-0.024664,0.237852,0.168480,0.313185,0.381584,0.309873,0.227391,0.143052,0.292205,0.297857,0.157495,0.235764,0.138818,0.364085,0.286306,0.259703,0.254369,0.077591,0.367416,0.200425,0.384755,0.311102,0.154696,0.326172,0.149057,0.267983,0.129969,0.232101,0.241006,0.286762,0.267723,0.447502,0.335975,0.266970,0.131439,0.176930,0.216071,0.084705,0.195018,0.149776,0.401200,0.351759,0.231981,0.198145,0.071512,0.095516,0.357960,0.238001,0.184223,0.373093,0.236463,0.328027,0.110191,0.140742,0.109240,0.077526,0.356699,0.176268,0.180641,0.113836,0.278970,0.266244,0.288667,0.118326,0.387382,0.115522,0.239313,0.314404,0.037250,0.238390,0.186235,0.129879,0.132935,0.236472,0.304673,0.274252,0.218017,0.102059,0.258498,0.241196,0.244197,0.148866,0.165675,0.108603,0.222168,0.260519,0.218438,0.250111,0.274717,0.218835,0.167203,0.166505,0.202861,0.235851,0.065539,0.164957,0.269802,0.211048,0.140906,0.145545,0.160332,0.508688,0.046042,0.205725,0.308472,0.169156,0.172676,0.017953,0.453120,0.093809,0.280795,0.326893,0.238501,0.222929,0.430973,0.310283,0.310445,0.227616,-0.051952,0.417633,0.245234,0.039316,0.376237
106,0.101878,0.200562,0.336576,0.183867,0.193878,1.000000,0.338234,0.272115,0.246913,0.369510,0.230982,0.332477,0.227910,0.324881,0.153688,0.324139,0.300630,0.171848,0.318879,0.313990,0.577289,0.302749,0.319759,0.257941,0.225346,0.039682,0.085782,0.301960,0.342020,0.391704,0.186051,0.169873,0.221304,0.126060,0.359006,0.335530,0.133485,0.352638,0.400047,0.191343,0.357815,0.246551,0.216111,0.332381,0.195213,0.380627,0.115748,0.170182,0.180622,0.007225,0.215832,-0.042147,0.350137,0.235498,0.136569,0.312869,0.113125,0.169222,0.344594,0.334836,0.170682,0.252801,0.242613,0.393106,0.298731,0.242419,0.284851,0.324423,0.501889,0.389664,0.112433,0.387352,0.393642,0.181924,0.100564,0.313819,0.178369,0.225461,0.358940,0.282611,0.323395,0.200674,0.211890,0.265277,0.219778,0.147580,0.073779,0.263973,0.213850,0.230377,0.111213,0.112279,0.323712,0.183730,0.313437,0.228348,0.451334,0.239616,0.231724,0.336743,0.207306,0.109444,0.473956,0.194431,0.164951,0.246376,0.098798,0.224741,0.322611,0.092453,0.183461,0.198147,0.173165,0.291605,0.279196,0.144702,0.218026,0.120805,0.255133,0.089697,0.198846,0.202787,0.279785,0.200754,0.434429,0.179329,0.278111,0.366472,0.165300,0.508782,0.258851,0.199076,0.126086,0.420610,0.418290,0.338373,0.424392,0.156063,0.056235,0.183028,0.353049,0.156030,0.244128,-0.009270,0.288343,0.178892,0.082330,0.400641,0.117687,0.244576,0.293319,0.230701,0.200892,0.228465,0.273473,0.251512,0.047012,0.305845,0.431418,0.203420,0.236655,0.101591,0.091879,0.265316,0.448082,0.197882,0.287870,0.135158,0.396010,0.246035,0.117528,0.360602,0.378386,0.262102,0.224064,0.317627,0.291246,0.282254,0.364669,0.161159,0.155242,0.289522,0.380719,0.140276,0.215850,0.167721,0.267670,0.202450,0.093477,0.169234,0.328844,0.357096,0.354920,0.117445,0.106512,0.246542,0.326556,0.285039,0.225624,0.209374,0.193247,0.219793,0.284589,0.282297,0.311838,0.264392,0.037598,0.258705,0.205646,0.158716,0.348959,0.470166,0.189157,0.398638,0.175197,0.437681,0.318949,0.216407,0.246022,0.134148,0.232677,0.187286,0.053233,0.078420,0.203714,0.251640,0.323657,0.394718,0.229594,0.019179,0.207869,0.296241,0.334608,0.149193,0.404591,0.149917,0.194501,0.280466,-0.056793,0.114514
159,0.067040,0.186115,0.293060,0.163608,0.094265,0.338234,1.000000,0.245522,0.212074,0.338504,0.157536,0.168945,0.150229,0.305817,0.108037,0.253817,0.199464,0.157614,0.289000,0.204434,0.227744,0.210284,0.257499,0.199721,0.127334,0.027304,0.064263,0.346188,0.185781,0.368128,0.157438,0.091122,0.142076,0.087039,0.236513,0.257101,0.087108,0.311107,0.275428,0.314507,0.549483,0.258178,0.247363,0.231650,0.182431,0.354152,0.078054,0.067233,0.080225,0.074780,0.171314,-0.003630,0.267589,0.143483,0.088608,0.289852,0.108940,0.132569,0.377798,0.416703,0.188449,0.154669,0.307130,0.212528,0.253077,0.134634,0.213661,0.247691,0.456256,0.295434,0.118608,0.399682,0.293968,0.138044,0.115703,0.230831,0.054130,0.125745,0.230585,0.221072,0.292711,0.162624,-0.003987,0.212664,0.139202,0.230570,0.083535,0.209477,0.153419,0.143369,0.054068,0.111852,0.313814,0.497509,0.269281,0.208745,0.337451,0.236251,0.173173,0.278881,0.272898,0.206903,0.463689,0.179196,0.192859,0.170867,0.260239,0.199439,0.255338,0.073835,0.095604,0.140735,0.529744,0.197382,0.166705,0.086009,0.267852,0.563127,0.170700,0.098645,0.152170,0.100480,0.161863,0.219707,0.467556,0.129073,0.216002,0.379462,0.239334,0.408163,0.200694,0.131303,0.179976,0.330183,0.441977,0.286640,0.276144,0.194057,0.097630,0.161035,0.136116,0.188372,0.233599,0.069439,0.133343,0.135261,0.052486,0.293394,0.079374,0.163830,0.239048,0.544865,0.296111,0.128910,0.252234,0.217266,0.121654,0.230782,0.236317,0.083213,0.188442,0.106834,0.032850,0.232084,0.417896,0.271903,0.154987,0.229004,0.324068,0.192996,0.082761,0.242702,0.449402,0.132926,0.237417,0.382536,0.109875,0.236954,0.254520,0.135009,0.079774,0.106752,0.440277,0.142782,0.111256,0.301012,0.233951,0.242248,0.097680,0.055586,0.289723,0.256716,0.291087,0.085441,0.079346,0.258105,0.219757,0.177190,0.207724,0.154620,0.235651,0.137320,0.242435,0.256990,0.360669,0.248536,0.108576,0.233258,0.143546,0.097255,0.198028,0.512805,0.131232,0.333843,0.199665,0.448504,0.227073,0.281278,0.103784,0.212761,0.094461,0.189786,0.113082,0.050182,0.288966,0.224096,0.348102,0.363058,0.134007,0.030779,0.196034,0.287259,0.244937,0.075114,0.252223,0.134725,0.117276,0.204478,0.056868,0.064683
166,0.240697,0.435777,0.278152,0.336145,0.301509,0.272115,0.245522,1.000000,0.310345,0.513431,0.361663,0.276688,0.229918,0.195749,0.368183,0.465215,0.341857,0.367084,0.302289,0.119713,0.351143,0.341285,0.398945,0.435874,0.281488,0.204664,0.144663,0.296901,0.437552,0.275249,0.251463,0.442680,0.354445,0.131989,0.430920,0.459758,0.194223,0.449169,0.230654,0.250782,0.303759,0.322705,0.379296,0.444485,0.382827,0.629679,0.321917,0.183392,0.445884,0.278769,0.392717,0.107514,0.612244,0.310395,0.120149,0.516538,0.429099,0.300312,0.207276,0.613440,0.286400,0.198486,0.555392,0.117592,0.357161,0.258129,0.380086,0.454919,0.213480,0.388812,0.255154,0.276847,0.343110,0.313640,0.448271,0.430452,0.387010,0.171498,0.366066,0.463135,0.413219,0.403896,0.395903,0.159502,0.292590,0.377121,0.385551,0.364349,0.401435,0.243334,0.372096,0.051919,0.113897,0.155326,0.386124,0.330429,0.289426,0.504117,0.323448,0.318124,0.500789,0.255262,0.495673,0.311536,0.287221,0.301860,0.099452,0.423971,0.409819,0.127323,0.239368,0.372732,0.087143,0.263507,0.400519,0.499078,0.355159,0.158134,0.330089,0.322070,0.480995,0.125312,0.522381,0.249874,0.330312,0.546513,0.409674,0.350130,0.382417,0.331982,0.269434,0.265074,0.211319,0.529271,0.246627,0.632240,0.230954,0.227494,0.416660,0.203078,0.382995,0.355502,0.474531,0.210986,0.247218,0.395480,0.339270,0.427808,0.312544,0.540852,0.448015,0.355314,0.205260,0.562446,0.164787,0.337086,0.228323,0.608671,0.340662,0.182000,0.400073,0.327629,0.378997,0.424550,0.415372,0.372624,0.310111,0.368302,0.338801,0.246208,0.307900,0.175919,0.140386,0.145703,0.205057,0.560514,0.241127,0.374431,0.396054,0.287913,0.085481,0.204067,0.422915,0.346343,0.403784,0.236780,0.435641,0.411573,0.349873,0.194973,0.543160,0.431672,0.468903,0.300436,0.290493,0.284951,0.328625,0.363166,0.369543,0.210452,0.429755,0.273752,0.486410,0.187243,0.342921,0.379232,0.283852,0.388504,0.193718,0.135298,0.277357,0.314431,0.297881,0.414654,0.545543,0.435773,0.332722,0.358826,0.420116,0.242716,0.271627,0.328530,0.358599,0.314453,0.176948,0.378793,0.427353,0.398796,0.236995,0.297003,0.413765,0.502202,0.631792,0.456831,0.186199,0.145458,0.253840,0.292639,0.105570,0.295533
184,0.124560,0.175746,0.476044,0.189722,0.128025,0.246913,0.212074,0.310345,1.000000,0.442838,0.205058,0.358192,0.287708,0.440171,0.067338,0.325318,0.104426,0.261290,0.366035,0.478389,0.280247,0.207969,0.289416,0.386472,0.327692,0.061733,0.056046,0.442908,0.287884,0.247716,0.229807,0.260075,0.297293,0.131661,0.218792,0.402472,0.104382,0.444281,0.138013,0.323824,0.337043,0.398723,0.260235,0.380755,0.165949,0.276931,0.311134,0.123964,0.123076,0.039910,0.135167,-0.017066,0.221529,0.242107,0.066779,0.368497,0.089101,0.156157,0.169178,0.383001,0.215013,0.276805,0.258827,0.143130,0.269887,0.326260,0.449741,0.220145,0.265157,0.230277,0.076911,0.290294,0.143892,0.107747,0.105039,0.272840,0.122688,0.142755,0.235678,0.333052,0.501213,0.193483,0.154327,0.167096,0.121996,0.148304,0.090178,0.322549,0.223839,0.215856,0.179779,0.289471,0.282475,0.179226,0.354672,0.198071,0.302025,0.380598,0.209524,0.326079,0.302324,0.146300,0.286115,0.185760,0.268622,0.230974,0.064769,0.219474,0.225606,0.060600,0.218812,0.176806,0.160759,0.441977,0.150455,0.183564,0.395138,0.224194,0.285469,0.045068,0.305345,0.121966,0.292028,0.229540,0.295397,0.239621,0.288809,0.342009,0.213339,0.263744,0.266131,0.242289,0.121213,0.282147,0.184774,0.306260,0.317826,0.223106,0.123011,0.168682,0.137979,0.339053,0.291913,-0.020218,0.388607,0.232971,0.137484,0.245246,0.067896,0.186746,0.252891,0.291436,0.273617,0.243871,0.151357,0.240225,0.062112,0.298727,0.349287,0.117773,0.195768,0.124589,0.120371,0.322984,0.325234,0.172111,0.115243,0.199956,0.237595,0.110613,0.067502,0.141444,0.172016,0.105920,0.103226,0.408184,0.212604,0.372541,0.241505,0.206336,0.377885,0.203067,0.371428,0.103790,0.257940,0.285729,0.241298,0.257802,0.145485,0.088876,0.352085,0.211271,0.538055,0.142478,0.267544,0.387036,0.593422,0.252612,0.096757,0.172406,0.448074,0.207859,0.276866,0.246358,0.406799,0.352964,0.096729,0.554081,0.117812,-0.007423,0.297237,0.286661,0.154469,0.386228,0.230195,0.301219,0.352216,0.504799,0.220644,0.232923,0.292119,0.165652,0.090015,0.065955,0.279171,0.198290,0.520480,0.343973,0.327790,0.090414,0.343619,0.390086,0.273194,0.147981,0.238977,0.085797,0.114682,0.166729,-0.089309,-0.001996
