,,AMESBURY BALLROOM (850),AMESBURY BALLROOM ABC (400),AMESBURY BALLROOM D (360),INMAN SQUARE (100),CENTRAL SQUARE (100),KENDALL SQUARE (100),PORTER SQUARE A (60),PORTER SQUARE B (60),HARVARD SQUARE A (60),HARVARD SQUARE B (60),,,
Date,Time,,,,,,,,,,,,,
,11:45 AM,Science of Science 1,,,Social Networks 2,Higher-order & Multilayer Networks 2,"Algorithms, Inference & Reconstruction 2",Economic Networks 1,"Mobility, Spatial & Urban Networks 2",Dynamics & Control 1,Network Theory 2,,,
,12:00 PM,Science of Science 1,,,Social Networks 2,Higher-order & Multilayer Networks 2,"Algorithms, Inference & Reconstruction 2",Economic Networks 1,"Mobility, Spatial & Urban Networks 2",Dynamics & Control 1,Network Theory 2,,,
,12:15 PM,Science of Science 1,,,Social Networks 2,Higher-order & Multilayer Networks 2,"Algorithms, Inference & Reconstruction 2",Economic Networks 1,"Mobility, Spatial & Urban Networks 2",Dynamics & Control 1,Network Theory 2,,,
,12:30 PM,Chair: Sara Venturini,,,Chair: Alyssa Smith,Chair: Yuanzhao Zhang,Chair: Sadamori Kojaku,Chair: Matthias Raddant,Chair: Andrew Renninger,Dynamics & Control 1,Chair: Jasper Van Der Kolk,,,
,12:45 PM,,,,,,,,,,,,,
,1:00 PM,,,,,,,,,,,,,
,1:15 PM,,,,,,,,,,,,,
,1:30 PM,,,,,,,,,,,,,
,1:45 PM,,,,,,,,,,,,,
,2:00 PM,,,,,,,,,,,,,
,2:15 PM,,,,,,,,,,,,,
,2:30 PM,Invited 4,Asu Ozdaglar,Chair: Chris Riedl,,,,,,,,,,
,2:45 PM,Invited 4,Asu Ozdaglar,,,,,,,,,,,
,3:00 PM,Keynote 5 (duo),Duncan Watts & Steven Strogatz,,,,,,,,,,,
,3:15 PM,Keynote 5 (duo),Duncan Watts & Steven Strogatz,,,,,,,,,,,
,3:30 PM,Keynote 5 (duo),Duncan Watts & Steven Strogatz,,,,,,,,,,,
,3:45 PM,Keynote 5 (duo),Duncan Watts & Steven Strogatz,,,,,,,,,,,
,4:00 PM,,,,,,,,,,,,,
,4:15 PM,,,,PS 2.9,PS 2.10,PS 2.11,PS 2.12,PS 2.13,PS 2.14,PS 2.15,,7,sessions
